+-----+------------------------------------------------------------+-------+------+
|  ID | Title                                                      | Level | Paid |
+-----+------------------------------------------------------------+-------+------+
| 859 | Buddy Strings                                              |   1   |      |
| 858 | Mirror Reflection                                          |   2   |      |
| 857 | Minimum Cost to Hire K Workers                             |   3   |      |
| 856 | Score of Parentheses                                       |   2   |      |
| 855 | Exam Room                                                  |   2   |      |
| 854 | K-Similar Strings                                          |   3   |      |
| 853 | Car Fleet                                                  |   2   |      |
| 852 | Peak Index in a Mountain Array                             |   1   |      |
| 851 | Loud and Rich                                              |   2   |      |
| 850 | Rectangle Area II                                          |   3   |      |
| 849 | Maximize Distance to Closest Person                        |   1   |      |
| 848 | Shifting Letters                                           |   2   |      |
| 847 | Shortest Path Visiting All Nodes                           |   3   |      |
| 846 | Hand of Straights                                          |   2   |      |
| 845 | Longest Mountain in Array                                  |   2   |      |
| 844 | Backspace String Compare                                   |   1   |      |
| 843 | Guess the Word                                             |   3   |      |
| 842 | Split Array into Fibonacci Sequence                        |   2   |      |
| 841 | Keys and Rooms                                             |   2   |      |
| 840 | Magic Squares In Grid                                      |   1   |      |
| 839 | Similar String Groups                                      |   3   |      |
| 838 | Push Dominoes                                              |   2   |      |
| 837 | New 21 Game                                                |   2   |      |
| 836 | Rectangle Overlap                                          |   1   |      |
| 835 | Image Overlap                                              |   2   |      |
| 834 | Sum of Distances in Tree                                   |   3   |      |
| 833 | Find And Replace in String                                 |   2   |      |
| 832 | Flipping an Image                                          |   1   |      |
| 831 | Masking Personal Information                               |   2   |      |
| 830 | Positions of Large Groups                                  |   1   |      |
| 829 | Consecutive Numbers Sum                                    |   2   |      |
| 828 | Unique Letter String                                       |   3   |      |
| 827 | Making A Large Island                                      |   3   |      |
| 826 | Most Profit Assigning Work                                 |   2   |      |
| 825 | Friends Of Appropriate Ages                                |   2   |      |
| 824 | Goat Latin                                                 |   1   |      |
| 823 | Binary Trees With Factors                                  |   2   |      |
| 822 | Card Flipping Game                                         |   2   |      |
| 821 | Shortest Distance to a Character                           |   1   |      |
| 820 | Short Encoding of Words                                    |   2   |      |
| 819 | Most Common Word                                           |   1   |      |
| 818 | Race Car                                                   |   3   |      |
| 817 | Linked List Components                                     |   2   |      |
| 816 | Ambiguous Coordinates                                      |   2   |      |
| 815 | Bus Routes                                                 |   3   |      |
| 814 | Binary Tree Pruning                                        |   2   |      |
| 813 | Largest Sum of Averages                                    |   2   |      |
| 812 | Largest Triangle Area                                      |   1   |      |
| 811 | Subdomain Visit Count                                      |   1   |      |
| 810 | Chalkboard XOR Game                                        |   3   |      |
| 809 | Expressive Words                                           |   2   |      |
| 808 | Soup Servings                                              |   2   |      |
| 807 | Max Increase to Keep City Skyline                          |   2   |      |
| 806 | Number of Lines To Write String                            |   1   |      |
| 805 | Split Array With Same Average                              |   3   |      |
| 804 | Unique Morse Code Words                                    |   1   |      |
| 803 | Bricks Falling When Hit                                    |   3   |      |
| 802 | Find Eventual Safe States                                  |   2   |      |
